areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-10-28,75_79,551,3911,194.6
E92000001,England,nation,2021-10-28,80_84,246,1743,120.3
E92000001,England,nation,2021-10-28,85_89,177,1120,126.5
E92000001,England,nation,2021-10-28,90+,106,783,150.3
E92000001,England,nation,2021-10-28,unassigned,17,77,
E92000001,England,nation,2021-10-27,00_04,689,4751,146.7
E92000001,England,nation,2021-10-27,00_59,30939,207430,483.6
E92000001,England,nation,2021-10-27,05_09,2875,19782,558.9
E92000001,England,nation,2021-10-27,10_14,5476,42551,1238.5
E92000001,England,nation,2021-10-27,15_19,2582,19189,615.8
E92000001,England,nation,2021-10-27,20_24,1195,7353,211.7
E92000001,England,nation,2021-10-27,25_29,1683,10322,273.7
E92000001,England,nation,2021-10-27,30_34,2231,13832,361.7
E92000001,England,nation,2021-10-27,35_39,2709,16797,449.3
E92000001,England,nation,2021-10-27,40_44,3496,21553,620.0
E92000001,England,nation,2021-10-27,45_49,3211,19878,546.3
E92000001,England,nation,2021-10-27,50_54,2668,17604,454.3
E92000001,England,nation,2021-10-27,55_59,2124,13818,367.3
E92000001,England,nation,2021-10-27,60+,4786,32128,235.2
E92000001,England,nation,2021-10-27,60_64,1562,10280,321.6
E92000001,England,nation,2021-10-27,65_69,1175,7706,276.8
E92000001,England,nation,2021-10-27,70_74,966,6559,233.1
E92000001,England,nation,2021-10-27,75_79,539,3957,196.9
E92000001,England,nation,2021-10-27,80_84,265,1771,122.2
E92000001,England,nation,2021-10-27,85_89,164,1093,123.5
E92000001,England,nation,2021-10-27,90+,115,762,146.2
E92000001,England,nation,2021-10-27,unassigned,13,77,
E92000001,England,nation,2021-10-26,00_04,728,4824,148.9
E92000001,England,nation,2021-10-26,00_59,29974,214471,500.1
E92000001,England,nation,2021-10-26,05_09,2765,20725,585.5
E92000001,England,nation,2021-10-26,10_14,5655,46527,1354.3
E92000001,England,nation,2021-10-26,15_19,2650,20487,657.5
E92000001,England,nation,2021-10-26,20_24,1139,7400,213.1
